[2026-06-10 11:14:11] fan=off | temperature=25.68°C | humidity=37.95% | pressure=1012.31hPa
[2026-06-10 11:25:11] fan=on | temperature=75.21°C | humidity=4.08% | pressure=1011.4hPa
[2026-06-10 11:25:21] fan=on | temperature=60.37°C | humidity=7.67% | pressure=1011.29hPa
[2026-06-10 11:25:31] fan=on | temperature=47.57°C | humidity=12.72% | pressure=1011.48hPa
[2026-06-10 11:25:41] fan=on | temperature=39.07°C | humidity=17.57% | pressure=1011.52hPa
[2026-06-10 11:25:51] fan=on | temperature=35.26°C | humidity=21.21% | pressure=1011.56hPa
[2026-06-10 11:26:01] fan=on | temperature=32.08°C | humidity=24.34% | pressure=1011.65hPa
[2026-06-10 11:26:12] fan=on | temperature=30.67°C | humidity=26.58% | pressure=1011.65hPa
[2026-06-10 11:26:22] fan=on | temperature=29.57°C | humidity=27.48% | pressure=1011.64hPa
[2026-06-10 11:26:32] fan=on | temperature=28.65°C | humidity=28.79% | pressure=1011.72hPa
[2026-06-10 11:26:42] fan=off | temperature=27.9°C | humidity=29.6% | pressure=1011.71hPa
[2026-06-10 11:26:52] fan=off | temperature=28.23°C | humidity=30.99% | pressure=1011.69hPa
[2026-06-10 11:27:02] fan=off | temperature=28.48°C | humidity=30.0% | pressure=1011.68hPa
[2026-06-10 11:27:12] fan=off | temperature=28.63°C | humidity=32.29% | pressure=1011.69hPa
[2026-06-10 11:27:22] fan=off | temperature=28.76°C | humidity=30.75% | pressure=1011.66hPa
[2026-06-10 11:27:33] fan=off | temperature=28.95°C | humidity=30.29% | pressure=1011.68hPa
[2026-06-10 11:27:43] fan=off | temperature=29.0°C | humidity=30.22% | pressure=1011.66hPa
[2026-06-10 11:27:53] fan=off | temperature=29.14°C | humidity=30.41% | pressure=1011.68hPa
[2026-06-10 11:31:55] fan=off | temperature=27.73°C | humidity=32.43% | pressure=1011.67hPa
[2026-06-10 11:32:05] fan=off | temperature=27.89°C | humidity=32.78% | pressure=1011.66hPa
[2026-06-10 11:32:16] fan=off | temperature=29.25°C | humidity=32.85% | pressure=1011.64hPa
[2026-06-10 11:32:26] fan=on | temperature=37.03°C | humidity=25.52% | pressure=1012.22hPa
[2026-06-10 11:32:36] fan=on | temperature=65.96°C | humidity=11.1% | pressure=1011.82hPa
[2026-06-10 11:32:46] fan=on | temperature=50.78°C | humidity=12.61% | pressure=1011.63hPa
[2026-06-10 11:32:56] fan=on | temperature=40.49°C | humidity=17.75% | pressure=1011.92hPa
[2026-06-10 11:33:06] fan=on | temperature=34.57°C | humidity=22.66% | pressure=1011.83hPa
[2026-06-10 11:33:16] fan=on | temperature=30.6°C | humidity=26.22% | pressure=1011.78hPa
[2026-06-10 11:33:27] fan=on | temperature=28.73°C | humidity=29.64% | pressure=1011.84hPa
